S.No,Name,Channel,Slot,Prescale min,Prescale max,Scale min,Scale max,Pre Scale Values,,,,,Scale Values,,,,,PreScaled Unit,Scaled Unit
,,,,,,,,X1,X2,X3,X4,X5,Y1,Y2,Y3,Y4,Y5,,
68,C_RTD_10,ai6,Slot7,0.004,0.02,73.15,373.15,0.004,0.008,0.012,0.016,0.02,73.15,148.15,223.15,298.15,373.15,mA,K
69,F_PT_46B,ai8,Slot7,0.004,0.02,0,100,0.004,0.008,0.012,0.016,0.02,0,25,50,75,100,mA,Barg
70,F_PT_D,ai10,Slot7,0.004,0.02,0,100,0.004,0.008,0.012,0.016,0.02,0,25,50,75,100,mA,Barg
71,C_PT_SP_In,ai9,Slot7,0.004,0.02,0,100,0.004,0.008,0.012,0.016,0.02,0,25,50,75,100,mA,Barg
72,F_PT_40,ai12,Slot7,0.004,0.02,0,100,0.004,0.008,0.012,0.016,0.02,0,25,50,75,100,mA,Barg
73,N_PT_175,ai11,Slot7,0.004,0.02,0,100,0.004,0.008,0.012,0.016,0.02,0,25,50,75,100,mA,Barg
74,FD_CV_1,ai30,Slot7,0.004,0.02,0,100,0.004,0.008,0.012,0.016,0.02,0,25,50,75,100,mA,Percentage
75,FD_PT_1,ai31,Slot7,0.004,0.02,0,100,0.004,0.008,0.012,0.016,0.02,0,25,50,75,100,mA,Barg
76,F_RTD_S,ai13,Slot7,0.004,0.02,73.15,1123.15,0.004,0.008,0.012,0.016,0.02,73.15,335.65,598.15,860.65,1123.15,mA,K
77,F_RTD_D,ai14,Slot7,0.004,0.02,73.15,1123.15,0.004,0.008,0.012,0.016,0.02,73.15,335.65,598.15,860.65,1123.15,mA,K
78,C_RTD_SC,ai23,Slot7,0.004,0.02,73.15,373.15,0.004,0.008,0.012,0.016,0.02,73.15,148.15,223.15,298.15,373.15,mA,K
79,C_RTD_D,ai24,Slot7,0.004,0.02,73.15,373.15,0.004,0.008,0.012,0.016,0.02,73.15,148.15,223.15,298.15,373.15,mA,K
80,C_RTD_S,ai25,Slot7,0.004,0.02,73.15,373.15,0.004,0.008,0.012,0.016,0.02,73.15,148.15,223.15,298.15,373.15,mA,K
81,C_PT_Purge,ai26,Slot7,0.004,0.02,0,40,0.004,0.008,0.012,0.016,0.02,0,10,20,30,40,mA,barg
82,CD_CV_1,ai29,Slot7,0.004,0.02,0,100,0.004,0.008,0.012,0.016,0.02,0,25,50,75,100,mA,Percentage
83,N_PT_B,ai27,Slot7,0.004,0.02,0,40,0.004,0.008,0.012,0.016,0.02,0,10,20,30,40,mA,barg
84,V_AB_A,ai0,Slot9,-5,5,-1219.25,1219.25,-5,-2.5,0,2.5,5,-1219.25,-609.625,0,609.625,1219.25,v,v
85,V_BC_A,ai1,Slot9,-5,5,-1219.25,1219.25,-5,-2.5,0,2.5,5,-1219.25,-609.625,0,609.625,1219.25,v,v
86,V_CA_A,ai2,Slot9,-5,5,-1219.25,1219.25,-5,-2.5,0,2.5,5,-1219.25,-609.625,0,609.625,1219.25,v,v
87,V_DC_A,ai3,Slot9,-5,5,-1219.25,1219.25,-5,-2.5,0,2.5,5,-1219.25,-609.625,0,609.625,1219.25,v,v
88,I_A_A,ai4,Slot9,-10,10,-500,500,-10,-5,0,5,10,-500,-250,0,250,500,v,A
89,I_B_A,ai5,Slot9,-10,10,-500,500,-10,-5,0,5,10,-500,-250,0,250,500,v,A
90,I_C_A,ai6,Slot9,-10,10,-500,500,-10,-5,0,5,10,-500,-250,0,250,500,v,A
91,I_DC_A,ai7,Slot9,-10,10,-500,500,-10,-5,0,5,10,-500,-250,0,250,500,v,A
92,V_AB_L,ai8,Slot9,-5,5,-1219.25,1219.25,-5,-2.5,0,2.5,5,-1219.25,-609.625,0,609.625,1219.25,v,v
93,V_BC_L,ai9,Slot9,-5,5,-1219.25,1219.25,-5,-2.5,0,2.5,5,-1219.25,-609.625,0,609.625,1219.25,v,v
94,V_CA_L,ai10,Slot9,-5,5,-1219.25,1219.25,-5,-2.5,0,2.5,5,-1219.25,-609.625,0,609.625,1219.25,v,v
95,V_DC_L,ai11,Slot9,-5,5,-1219.25,1219.25,-5,-2.5,0,2.5,5,-1219.25,-609.625,0,609.625,1219.25,v,v
96,I_A_L,ai12,Slot9,-10,10,-500,500,-10,-5,0,5,10,-500,-250,0,250,500,v,A
97,I_B_L,ai13,Slot9,-10,10,-500,500,-10,-5,0,5,10,-500,-250,0,250,500,v,A
98,I_C_L,ai14,Slot9,-10,10,-500,500,-10,-5,0,5,10,-500,-250,0,250,500,v,A
