Sr. No.,CDT (s),Delay(s),Delay(ms),Component ID,Range/Position,Failure Case Sequence
368,45.12,0,0,SP_19,Open,
369,45.22,0.1,100,G_EV_Inj_8,Open,
370,45.22,0,0,G_EV_Inj_9,Open,
371,45.22,0,0,G_EV_Inj_12,Open,
372,45.22,0,0,G_EV_Inj_14,Open,
373,45.22,0,0,G_EV_Inj_15,Open,
374,45.22,0,0,G_EV_Inj_18,Open,
375,45.22,0,0,G_EV_Inj_19,Open,
376,45.62,0.4,400,M_EV_Inj_8,Open,
377,45.62,0,0,M_EV_Inj_9,Open,
378,45.62,0,0,M_EV_Inj_12,Open,
379,45.62,0,0,M_EV_Inj_14,Open,
380,45.62,0,0,M_EV_Inj_15,Open,
381,45.62,0,0,M_EV_Inj_18,Open,
382,45.62,0,0,M_EV_Inj_19,Open,
383,46.62,1,1000,I_PT(P)_8,0\7,F3
384,46.62,0,0,I_PT(P)_9,0\7,F3
385,46.62,0,0,I_PT(P)_12,0\7,F3
386,46.62,0,0,I_PT(P)_14,0\7,F3
387,46.62,0,0,I_PT(P)_15,0\7,F3
388,46.62,0,0,I_PT(P)_18,0\7,F3
389,46.62,0,0,I_PT(P)_19,0\7,F3
390,47.12,0.5,500,SP_8,Close,
391,47.12,0,0,SP_9,Close,
392,47.12,0,0,SP_12,Close,
393,47.12,0,0,SP_14,Close,
394,47.12,0,0,SP_15,Close,
395,47.12,0,0,SP_18,Close,
396,47.12,0,0,SP_19,Close,
397,47.62,0.5,500,R_G_EV_1,Close,
398,47.67,0.05,50,G_EPV_DRAIN,Open,
399,47.77,0.1,100,G_EV_Inj_8,Close,
400,47.77,0,0,G_EV_Inj_9,Close,
401,47.77,0,0,G_EV_Inj_12,Close,
402,47.77,0,0,G_EV_Inj_14,Close,
403,47.77,0,0,G_EV_Inj_15,Close,
404,47.77,0,0,G_EV_Inj_18,Close,
405,47.77,0,0,G_EV_Inj_19,Close,
406,47.78,0.01,10,R_M_EV_1,Close,
407,47.83,0.05,50,M_EPV_DRAIN,Open,
408,47.93,0.1,100,M_EV_Inj_8,Close,
409,47.93,0,0,M_EV_Inj_9,Close,
410,47.93,0,0,M_EV_Inj_12,Close,
411,47.93,0,0,M_EV_Inj_14,Close,
412,47.93,0,0,M_EV_Inj_15,Close,
413,47.93,0,0,M_EV_Inj_18,Close,
414,47.93,0,0,M_EV_Inj_19,Close,
