LAYER_NUMBER,MEAN (E7),MEAN (E8),MEAN (E14),MEAN (E15),MEAN (13),MEAN (16)
1827,2383.55,2079.15,2201.07,2155.89,,
1828,2411.11,2132.34,2269.51,2265.06,,
1829,2381.52,2100.81,2211.32,2182.5,,
1830,2340.99,2053.96,2178.36,2163.39,,
1831,2438.17,2155.05,2281.16,2225.15,,
1832,2315.66,2049.05,2164.85,2168.81,,
1833,2407.22,2087.12,2245.96,2199.39,,
1834,2371.73,2133.97,2240.3,2227.04,,
1835,2343.85,2086.49,2170.66,2135.72,,
1836,2378.04,2101.85,2241.48,2233.46,,
1837,2386.69,2099.28,2203.92,2180.8,,
1838,2331.78,2061.98,2177.56,2177.46,,
1839,2438.92,2182.58,2246.14,2223.23,,
1840,2324.36,2069.97,2166.61,2167.31,,
1841,2382,2059.86,2187.16,2174.02,,
1842,2380.01,2135.74,2206.84,2211.36,,
1843,2346.36,2077.91,2164.06,2125.81,,
1844,2395.65,2129.26,2258.82,2251.95,,
1845,2388.5,2122.15,2213.23,2190.39,,
1846,2316.16,2045.77,2158.3,2144.52,,
1847,2402.84,2153.29,2225.65,2208.81,,
1848,2312.54,2075.87,2174.59,2166.98,,
1849,2380.22,2082.03,2190.28,2155.5,,
1850,2388.49,2151.99,2230.32,2240.72,,
1851,2332.66,2074.33,2155.22,2127.58,,
1852,2365.65,2102.61,2205.23,2197.23,,
1853,2373.06,2101.12,2203.06,2173.96,,
1854,2310.48,2036.99,2147.51,2149.43,,
1855,2441.96,2157.15,2260.33,2220.86,,
1856,2335,2093.63,2175.39,2171.3,,
1857,2342.25,2076.76,2161.77,2131.4,,
1858,2370.98,2138.34,2225.38,2237.29,,
1859,2351.4,2089.45,2162.92,2147.54,,
1860,2383.3,2110.8,2223.25,2220.71,,
1861,2379.93,2148.44,2227.24,2200.5,,
1862,2297.56,2070.6,2145.32,2137.15,,
1863,2405.03,2150.53,2217.38,2202.45,,
1864,2340.64,2090.94,2175.53,2194.51,,
1865,2370.9,2083.29,2177.33,2148.86,,
1866,2357.44,2166.55,2213.07,2226.71,,
1867,2363.45,2098.58,2181.54,2160.78,,
1868,2328.82,2081.38,2182.07,2182.61,,
1869,2355.46,2126.31,2190.4,2168.42,,
1870,2270.67,2046.31,2124.1,2123.49,,
1871,2435.99,2173.6,2254.1,2223.41,,
1872,2338.89,2088.83,2201.84,2198.8,,
1873,2317.03,2051.73,2138.71,2120.78,,
1874,2371.16,2145.05,2221.91,2223.42,,
1875,2376.25,2077.46,2192.8,2147,,
1876,2376.27,2082.31,2211.06,2202.9,,
1877,2427.43,2155.94,2236.2,2201.76,,
1878,2269.88,2062.82,2116.59,2108.27,,
1879,2405.35,2151,2238.27,2208.75,,
1880,2358.89,2097.39,2210.94,2187.58,,
1881,2352.85,2083.17,2166.39,2137.59,,
1882,2376.83,2166.54,2237.33,2240.82,,
1883,2339.88,2101.65,2168.42,2144.51,,
1884,2322.17,2075.55,2174.63,2166.37,,
1885,2374.76,2147.14,2209.04,2202.08,,
1886,2291.47,2064.71,2141.75,2148.62,,
1887,2434.01,2145.34,2250.27,2226.65,,
1888,2352.47,2107.81,2194.06,2208.17,,
1889,2338.27,2072.62,2157.14,2132.19,,
1890,2372.36,2143.02,2242.52,2204.41,,
1891,2358.2,2112.46,2186.83,2151.03,,
1892,2358.44,2072.75,2196.32,2175.65,,
1893,2444.9,2178.78,2268.44,2240.37,,
1894,2307.38,2075.43,2155.66,2141.13,,
1895,2398.69,2130.12,2207.17,2188.86,,
1896,2335.16,2104.08,2197.96,2188.57,,
1897,2353.16,2090.68,2150.76,2113.23,,
1898,2396.62,2155.91,2234.91,2234.01,,
1899,2359.04,2117.52,2179.59,2158.63,,
1900,2317.42,2060.84,2152,2149.69,,
1901,2399.61,2160.22,2230.13,2210.26,,
1902,2306.08,2070.09,2143.02,2163.25,,
1903,2426.74,2126.47,2244.09,2216.94,,
1904,2359.13,2126.15,2209.99,2220.69,,
1905,2314.17,2079.92,2120.28,2109.48,,
1906,2368.56,2137.51,2223.12,2218.44,,
1907,2391.82,2110.15,2194.87,2164.64,,
1908,2322.65,2054.85,2172.45,2164.14,,
1909,2452.86,2185.62,2269.9,2233.09,,
1910,2305.95,2060.61,2145.05,2142.51,,
1911,2360.82,2092.33,2196.48,2172.17,,
1912,2348.18,2120.67,2216.39,2215.79,,
1913,2350.31,2082.92,2156.84,2120.6,,
1914,2388.69,2155.66,2241.18,2242.81,,
1915,2384.59,2103.57,2206.81,2185.76,,
1916,2315.57,2055.62,2159.23,2152.34,,
1917,2413.33,2161.16,2244,2228.62,,
1918,2334.44,2058.44,2190.12,2177.52,,
1919,2420.93,2113.05,2234.17,2204.62,,
1920,2397.83,2156.45,2253.79,2263.33,,
1921,2340.96,2096.44,2163.67,2143.23,,
1922,2392.61,2117.85,2247.83,2246.88,,
1923,2401.74,2100.49,2213.57,2190.29,,
1924,2345.75,2044.75,2188.22,2179.55,,
1925,2529.88,2178.83,2360.92,2311.84,,
1926,2391.29,2079.2,2231.32,2216.48,,
1927,2430.93,2076.61,2251.7,2217.55,,
1928,2432.05,2126.1,2279.4,2278.63,,
1929,2401.18,2095.01,2210.49,2156.12,,
1930,2464.09,2139.08,2317.02,2306.95,,
1931,2442.93,2126.14,2261.29,2232.06,,
1932,2341.73,2036.48,2177.09,2167.72,,
1933,2445.19,2162.98,2274.75,2254.26,,
1934,2359.54,2083.73,2205.84,2213.53,,
1935,2420.46,2076.03,2232.44,2204.55,,
1936,2441.09,2152.47,2300.99,2308.34,,
1937,2374.25,2090.89,2191.28,2168.59,,
1938,2402.59,2096.14,2267.89,2257.11,,
1939,2430.88,2116.08,2237.92,2226.2,,
1940,2354.47,2062.07,2188.15,2184.38,,
1941,2518.89,2180.18,2326.34,2302.36,,
1942,2369.05,2102.66,2211.07,2213.04,,
1943,2387.41,2072.08,2200.87,2183.19,,
1944,2410.69,2148.33,2246.01,2240.75,,
1945,2383.6,2089.34,2215.14,2164.49,,
1946,2428.24,2112.66,2275.37,2282.07,,
1947,2468.5,2145.46,2274.27,2238.23,,
1948,2334.83,2062.27,2181.13,2168.43,,
1949,2446.21,2168.06,2279.5,2259.27,,
1950,2370.19,2097.59,2217.67,2210.29,,
1951,2416.54,2084.41,2243.12,2204.33,,
1952,2432.38,2163.84,2299.87,2295.19,,
1953,2390.11,2102.37,2199.73,2182.59,,
1954,2409.06,2097.31,2256.98,2241.59,,
1955,2427.05,2137.28,2246.17,2235.94,,
1956,2343.36,2065.49,2176.8,2177.57,,
1957,2505.69,2166.67,2301.16,2262.3,,
1958,2374.89,2082.96,2227.8,2217.29,,
1959,2381.12,2049.09,2203.37,2182.74,,
1960,2407.04,2154.99,2261.85,2264.98,,
1961,2399.28,2094.29,2225.45,2180.04,,
1962,2410.35,2092.28,2275.25,2261.01,,
1963,2457.46,2156.24,2299.8,2249.01,,
1964,2308.92,2066.67,2157.57,2129.91,,
